Proteraiotites,KRITI,ANATOLIKI MAKEDONIA-THRAKI,ATTIKI,VOREIO AIGAIO,DYTIKI ELLADA,DYTIKI MAKEDONIA,IPIROS,THESSALIA,IONIA NISIA,KENTRIKI MAKEDONIA,NOTIO AIGAIO,PELOPONNISOS,STEREA ELLADA
Sindesi Ereunas & Epixeirimatikotitas,1,1,1,1,1,1,1,1,1,1,1,1,1
Anaptixi aristeias ston tomea E&K,0,0,1,1,1,1,1,1,1,1,1,1,1
Ipiresies ilektronikou emporiou,1,0,1,1,1,1,1,0,1,1,1,1,1
Ilektrinikes ipiresies se koinonikes efarmoges,1,1,1,1,1,1,1,1,1,1,1,1,1
Epixeirimatika Fitoria,1,1,1,1,1,1,1,1,1,1,1,1,1
Epixeirimatiki ekpaideusi & xrimatodotisi,1,0,1,1,1,1,1,1,1,1,0,1,1
"Anaptixi epixeirisewn se perifereiakes, ethnikes kai diethneis agores & symmetoxi autwn se diadikasies kainotomias",0,1,1,1,1,1,0,1,0,1,1,1,1
Draseis veltiosis energeiakis apodosis,1,1,1,1,1,1,1,1,1,1,1,1,1
Exipni diaxeirisi energeias ,1,1,1,1,1,1,1,1,1,1,1,1,1
Anaptixi kai xrisi APE,1,1,1,1,1,1,1,1,1,1,1,1,1
Ereuna & anaptixi xrisis texnologiwn xamilwn ekpompwn dioxediou tou antraka,1,1,1,0,1,1,1,1,0,1,0,0,1
Xrisi simparagogis thermotitas kai hlektrismou me ipsili apodosi,0,0,1,0,0,0,0,0,0,0,0,0,0
Sistimata diaxeirisis katastrofwn ,1,1,0,0,1,1,1,0,1,0,1,1,1
Politikes antimetopisis sunepeiwn klimatikis allagis,0,0,1,1,1,0,0,1,1,1,0,0,1
Diaxeirisi Apoblitwn,1,1,1,1,1,0,0,1,1,1,0,1,0
Diaxeirisi Idatinwn porwn,1,1,1,1,1,1,1,1,1,1,1,1,1
Politismos,1,1,1,1,1,1,1,1,1,1,1,1,1
Prostasia oikosistimatwn,1,1,1,1,1,1,1,1,1,1,1,1,1
Astiko perivallon,1,1,1,1,1,1,1,1,1,1,1,1,1
Prostasia kai stirixi tis viomixanikis drastiriotitas me orous oikologikis kainotomias,0,0,0,0,0,0,0,0,0,0,0,0,1
Perifereiaki kinitikotita,1,1,1,1,1,1,1,1,1,1,1,1,1
Politropikos eniaios europaikos xoros metaforwn,0,1,1,1,1,1,1,1,0,1,1,0,0
Anaptixi filikon pros to perivallon kai me xamiles ekpompes antraka sistimatwn metaforwn,0,0,1,0,1,0,0,0,1,0,0,1,0
Energeiaki apodosi kai asfaleia tou efodiasmou,0,1,0,0,1,0,1,0,0,1,0,0,1
Enisxisi kainotomwn epixeirisewn,1,1,1,1,1,1,0,1,1,1,1,1,1
Prosarmogi ergazomenwn kai epixeirisewn stis allages,1,0,1,1,1,0,1,1,1,1,1,1,1
Prosvasi atomwn stin apasxolisi,0,0,0,0,0,0,1,0,1,0,1,0,0
Ypodomes ygeias & anapsixis,1,1,1,1,1,1,1,1,1,1,1,1,1
Anazwogonisi upovathmismenwn koinotitwn entos astikwn kai agrotikwn perioxwn,0,0,0,0,0,0,1,1,0,0,0,1,0
Paroxi sthrixis gia koinwnikes epixeiriseis,0,0,0,1,0,0,0,1,0,1,0,1,0
Pragmatopoihsi ependisewn sto plaisio strathgikwn topikis anaptyxis ,0,0,0,0,0,0,0,1,0,0,0,1,0
Draseis gia enisxisi ths apasxolisis,1,1,1,1,1,1,1,1,1,1,1,1,1
Poma,1,1,1,1,1,0,1,1,1,1,1,1,1
Anagkes eupathwn omadwn,1,1,1,1,1,1,1,1,1,1,1,1,1
Prosvasi se koinwnikes ipiresies,1,1,1,1,1,1,1,1,1,1,1,1,1
Anagkes topikwn koinothtwn,1,0,0,0,1,0,1,1,1,1,0,1,1
Dia viou mathisi & Eppagelmatiki katartisi & ypodomes,1,1,1,1,1,1,1,1,1,1,1,1,1
